COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,DEC2014,December 2014,2014,12,December,Other renewables aggregated,112.405,25,1264.093,,0.0188984699645383
Colombia,DEC2014,December 2014,2014,12,December,Low carbon,4298.913,26,48591.614,,0.7227692559108891
Colombia,DEC2014,December 2014,2014,12,December,Fossil fuels,1648.921,27,20435.682,,0.2772304078323612
Colombia,JAN2015,January 2015,2015,1,January,Hydro,3931.459,1,47938.041,3903.977,0.6353266298120049
Colombia,JAN2015,January 2015,2015,1,January,Wind,5.562,2,67.497,5.648,0.0008988232396711
Colombia,JAN2015,January 2015,2015,1,January,Solar,1.065,3,8.947,1.065,0.0001721047735076
Colombia,JAN2015,January 2015,2015,1,January,Total combustible fuels,2250.005,7,28107.51,1792.024,0.3636024421748161
Colombia,JAN2015,January 2015,2015,1,January,Coal,554.069,8,6653.61,521.938,0.0895379528193751
Colombia,JAN2015,January 2015,2015,1,January,Oil,151.043,9,3317.42,139.219,0.0244086585022747
Colombia,JAN2015,January 2015,2015,1,January,Natural gas,1442.368,10,16849.865,1031.146,0.2330877163894325
Colombia,JAN2015,January 2015,2015,1,January,Combustible renewables,102.525,11,1286.614,99.721,0.0165681144637336
Colombia,JAN2015,January 2015,2015,1,January,Net electricity production,6188.091,14,76121.996,5702.714,1.0
Colombia,JAN2015,January 2015,2015,1,January,Total imports,0.087,15,45.0,0.021,1.405926318795247e-05
Colombia,JAN2015,January 2015,2015,1,January,Total exports,84.394,16,460.0,146.888,0.013638131695219
Colombia,JAN2015,January 2015,2015,1,January,Electricity supplied,6103.784,17,75706.996,5555.847,0.9863759275679688
Colombia,JAN2015,January 2015,2015,1,January,Distribution losses,544.296,19,7118.001,536.164,0.0879586289212618
Colombia,JAN2015,January 2015,2015,1,January,Final consumption,5559.489,20,68588.995,5019.684,0.8984174602474332
Colombia,JAN2015,January 2015,2015,1,January,Electricity trade,84.307,21,415.0,146.867,0.0136240724320311
Colombia,JAN2015,January 2015,2015,1,January,Renewables,4040.611,22,49301.099,4010.411,0.6529656722889174
